Language,original,english,german,chinesesimp,chinese,russian,czech,polish,hungarian,italian,spanish,french,portuguese,japanese,Column 16
successfully_sell_house,Successfully sold house,Successfully sold house,Haus erfolgreich verkauft.,成功出售房屋,成功出售房屋,Успешно проданный дом,Dům byl úspěšně prodán,Dom sprzedany pomyślnie,Sikeresen eladott ház,Casa venduta con successo,Maison vendue avec succès,Maison vendue avec succès,Casa vendida com sucesso,家の売却に成功,
error_sell_house,There was an error. Please retry.,There was an error. Please retry.,Es ist ein Fehler beim Verkauf aufgetreten.,有一个错误。请重试。,有一個錯誤。請重試。,"Там была ошибка. Пожалуйста, попробуйте еще раз.",Byla tam chyba. Zkuste to prosím znovu.,Wystąpił błąd. Proszę spróbuj ponownie.,"Hiba történt. Kérjük, próbálkozzon újra.",C'era un errore. Per favore riprova.,Il y avait une erreur. Veuillez réessayer.,Il y avait une erreur. Veuillez réessayer.,Havia um erro. Por favor tente novamente.,エラーが発生しました。再試行してください。,
error_not_enough_money,"Error,you have not enough money.","Error,you have not enough money.",Nicht genug Geld vorhanden!,错误，您没有足够的钱。,錯誤，您沒有足夠的錢。,"Ошибка, у вас недостаточно денег.","Chyba, nemáte dost peněz.","Błąd, masz za mało pieniędzy.","Hiba, nincs elég pénzed.","Errore, non hai abbastanza soldi.","Erreur, vous n'avez pas assez d'argent.","Erreur, vous n'avez pas assez d'argent.","Erro, você não tem dinheiro suficiente.",エラー、あなたは十分なお金を持っていません。,
building_has_already_an_owner,The building has already an owner.,The building has already an owner.,Das Gebäude hat schon einen Besitzer.,该建筑物已有所有者。,該建築物已有所有者。,У дома уже есть собственник.,Budova již má vlastníka.,Budynek ma już właściciela.,Az épületnek már van tulajdonosa.,L'immobile ha già un proprietario.,Le bâtiment a déjà un propriétaire.,Le bâtiment a déjà un propriétaire.,O prédio já tem dono.,建物にはすでに所有者がいます。,
error_please_reopen_menu,"Error,please reconnect to game.","Error,please reconnect to game",Irgendwas ist schief gelaufen. Bitte neu einloggen.,错误，请重新连接游戏。,錯誤，請重新連接遊戲。,"Ошибка, пожалуйста, подключитесь к игре заново.","Chyba, znovu se prosím připojte ke hře.","Błąd, połącz się ponownie z grą.","Hiba, kérjük, csatlakozzon újra a játékhoz.","Errore, riconnettiti al gioco.","Erreur, veuillez vous reconnecter au jeu.","Erreur, veuillez vous reconnecter au jeu.","Erro, reconecte ao jogo.",エラー、ゲームに再接続してください。,
error_buying_house,"Error,please try again.","Error,please try again.",Irgendwas ist schief gelaufen. Bitte versuche es erneut.,错误，请重试。,錯誤，請重試。,"Ошибка, попробуйте еще раз.","Chyba, zkuste to prosím znovu.","Błąd, spróbuj ponownie.","Hiba, próbálkozzon újra.","Errore, riprova.","Erreur, veuillez réessayer.","Erreur, veuillez réessayer.","Erro, tente novamente.",エラー、もう一度やり直してください。,
successfully_buy_house,Successfully bought house.,Successfully bought house.,Haus wurde erfolgreich gekauft.,成功购房。,成功購房。,Успешно купленный дом.,Dům byl úspěšně zakoupen.,Dom zakupiony pomyślnie.,Sikeresen megvásárolt ház.,Casa acquistata con successo.,Maison achetée avec succès.,Maison achetée avec succès.,Casa comprada com sucesso.,家の購入に成功しました。,
error_buying_storage,"Error,extension can not be bought.","Error,extension can not be bought.",Erweiterung konnte nicht gekauft werden.,错误，扩展名无法购买。,錯誤，擴展名無法購買。,"Ошибка, расширение нельзя купить.","Chyba, rozšíření nelze zakoupit.","Błąd, nie można kupić rozszerzenia.","Hiba, a bővítmény nem vásárolható meg.","Errore, l'estensione non può essere acquistata.","Erreur, l'extension ne peut pas être achetée.","Erreur, l'extension ne peut pas être achetée.","Erro, a extensão não pode ser comprada.",エラー、拡張機能は購入できません。,
successfully_buy_storage,"Successfully,extension successfully bought.",Successfully bought extension.,Erweiterung erfolgreich gekauft.,成功，扩展成功购买。,成功，擴展成功購買。,"Успешно, расширение успешно куплено.",Rozšíření bylo úspěšně zakoupeno.,"Pomyślnie, pomyślnie kupiono rozszerzenie.",Sikeresen sikeresen megvásárolták a bővítményt.,"Con successo, estensione acquistata con successo.",L'extension a bien été achetée.,L'extension a bien été achetée.,"Com sucesso, extensão comprada com sucesso.",正常に、拡張機能は正常に購入されました。,
open_banking_menu,Open banking menu.,Open banking menu.,Banking öffnen.,打开银行菜单。,打開銀行菜單。,Откройте банковское меню.,Otevřete bankovní nabídku.,Otwórz menu bankowe.,Nyissa meg a banki menüt.,Apri il menu bancario.,Ouvrez le menu bancaire.,Ouvrez le menu bancaire.,Abra o menu do banco.,銀行メニューを開きます。,
error_deposit_is_not_a_int,"Error,deposit is not a int value.","Error,deposit is not a int value.",Eingabe ist keine ganze Zahl.,错误，存款不是int值。,錯誤，存款不是int值。,"Ошибка, значение депозита не является целым.","Chyba, vklad není hodnota int.","Błąd, depozyt nie jest wartością typu int.","Hiba, a betét nem int érték.","Errore, il deposito non è un valore int.","Erreur, le dépôt n'est pas une valeur int.","Erreur, le dépôt n'est pas une valeur int.","Erro, o depósito não é um valor int.",エラー、デポジットは整数値ではありません。,
error_not_enough_money_to_transfer,"Error,not enough money to transfer.","Error,not enough money to transfer.",Nicht genug Geld zum transferieren.,错误，资金不足。,錯誤，資金不足。,"Ошибка, недостаточно денег для перевода.","Chyba, nedostatek peněz k převodu.","Błąd, za mało pieniędzy do przesłania.","Hiba, nincs elég pénz az átutaláshoz.","Errore, denaro insufficiente per il trasferimento.","Erreur, pas assez d'argent à transférer.","Erreur, pas assez d'argent à transférer.","Erro, dinheiro insuficiente para transferir.",エラー、送金するのに十分なお金がありません。,
Banking_Menue,Banking Menu,Banking Menu,Bank Menü,银行菜单,銀行菜單,Банковское меню,Nabídka bankovnictví,Menu bankowe,Banki menü,Menu bancario,Menu bancaire,Menu bancaire,Menu Bancário,銀行メニュー,
Deposit,Deposit,Deposit,Einzahlen,订金,訂金,Депозит,Vklad,Kaucja,Letét,Depositare,Dépôt,Dépôt,Depósito,預り金,
Pay_out,Payout,Payout,Auszahlen,付款方式,付款方式,Выплата,Výplaty,Wypłata,Kifizetés,Pagamento,Paiement,Paiement,Pagamento,配当性向,
Player_Cash,Cash:,Cash:,Bargeld:,现金：,現金：,Наличные:,Hotovost:,Gotówka:,Készpénz:,Contanti:,Espèces:,Espèces:,Dinheiro:,現金：,
Player_Bank,Balance:,Balance:,Guthaben:,平衡：,平衡：,Баланс:,Zůstatek:,Saldo:,Egyensúly:,Equilibrio:,Équilibre:,Équilibre:,Balançado:,残高：,
rob_money,Rob Money,Rob Money,Geld rauben,抢钱,搶錢,Украсть деньги,Okrádat peníze,Kradnij pieniądze,Rabolj pénzt,Rubare soldi,Voler de l'argent,Rob Money,Roubar dinheiro,ロブマネー,
get_money_from_dead_body,Take money,Take money.,Geld plündern.,取钱,取錢,Взять деньги,Vezmi peníze,Brać pieniądze,Vegyél pénzt,Prendere soldi,Prend l'argent,Prend l'argent,Levar dinheiro,お金を取る,
Cash_at_Bank,Bank Balance:,Bank Balance:,Gesamt Bankguthaben:,银行存款余额：,銀行存款餘額：,Банковский баланс:,Bankovní zůstatek:,Saldo bankowe:,Banki egyenleg:,Saldo bancario:,Solde bancaire:,Solde bancaire:,Saldo bancário:,銀行預金残高：,
money_transfer_successful,"Money transfer successful,",Money transfer successful.,Geldtransfer war erfolgreich.,汇款成功，,匯款成功，,"Перевод денег выполнен успешно,","Převod peněz úspěšný,","Przelew zakończony sukcesem,","Pénzátutalás sikeres,","Trasferimento di denaro riuscito,","Transfert d'argent réussi,","Transfert d'argent réussi,","Transferência de dinheiro bem-sucedida,",送金に成功しました。,
building_has_all_storrage_positions_upgraded,"Building,all storage positions has  been upgraded.",Building: all storage positions has been upgraded.,Alle Lagerplätze wurden ausgebaut.,大楼，所有存储位置均已升级。,大樓，所有存儲位置已升級。,В здании обновлены все складские помещения.,"Budova, všechny pozice úložiště byly upgradovány.","Budynek, wszystkie miejsca przechowywania zostały ulepszone.","Épület, az összes tárolóhelyet korszerűsítették.","Edificio, tutte le posizioni di stoccaggio sono state aggiornate.","Bâtiment, toutes les positions de stockage ont été améliorées.","Bâtiment, toutes les positions de stockage ont été améliorées.","Prédio, todas as posições de armazenamento foram atualizadas.",建物、すべての保管場所がアップグレードされました。,
rob_bank,Rob bank,Rob bank.,Bank ausrauben.,罗伯·班克,羅伯·班克,Ограбить банк,Rob banka,Rob bank,Rob bank,Rapina la banca,Banque Rob,Banque Rob,Banco rob,ロブバンク,
stop_rob_bank,Stop bank rob,Stop bank rob.,Bankraub stoppen.,停止抢银行,停止搶銀行,Остановить ограбление банка,Zastavte bankovní loupež,Powstrzymaj napad na bank,Hagyd abba a bankrablást,Stop alla rapina in banca,Arrêter le braquage de banque,Arrêter le braquage de banque,Pare de roubar banco,銀行強盗をやめろ,
raid_has_not_finished,raid has not finished,raid has not finished,Überfall ist noch nicht beendet,突袭尚未结束,突襲尚未結束,Рейд не завершён,nájezd nebyl dokončen,nalot się nie zakończył,A raid még nem fejeződött be,raid non è terminato,le raid n'est pas terminé,le raid n'est pas terminé,raid não terminou,RAIDは終了していません,
take_robt_money,Take robt money,Take robt money,Geraubtes Geld nehmen,抢钱,搶錢,Возьмите деньги,Vezměte si ukradené peníze,Weź okradane pieniądze,Vedd el a pénzt,Prendi i soldi rubati,Prendre de l'argent volé,Prendre de l'argent volé,Leve dinheiro robt,奪い金を取る,
no_raid_has_started,No raid has started,No raid has started,Kein Überfall gestartet,没有突袭开始,沒有突襲開始,Рейд не начался,Žádný raid nezačal,Żaden nalot się nie rozpoczął,Nem kezdődött rajtaütés,Nessun raid è iniziato,Aucun raid n'a commencé,Aucun raid n'a commencé,Nenhuma invasão começou,RAIDは開始されていません,
bank_rob_was_stopped,Bank rob was stopped,Bank rob was stopped,Banküberfall wurde gestoppt,银行抢劫被阻止,銀行搶劫被阻止,Ограбление банка было остановлено,Bankovní lup byl zastaven,Napad na bank został zatrzymany,A bankrablást megállították,La rapina in banca è stata fermata,Le vol de banque a été arrêté,Le vol de banque a été arrêté,Assalto a banco foi parado,銀行強盗は停止されました,
not_in_near_of_raided_bank,Not in near of raided bank,Not in near of raided bank,Nicht in der Näher der überfallenden Bank.,不在突袭银行附近,不在突襲銀行附近,Не в районе ограбленного банка,Ne v blízkosti přepadené banky,Nie w pobliżu napadniętego banku,Nem a rajtaütött bank közelében,Non vicino a una banca saccheggiata,Pas à proximité de la banque attaquée,Pas à proximité de la banque attaquée,Não perto do banco invadido,襲撃された銀行の近くではない,
safe_is_open,"Safe is open,robber can take the money.","Safe is open now,robber can take the money now.","Tresor ist offen,die Räuber können sich das Geld nun schnappen.",保险柜是开放的，强盗可以拿钱。,保險櫃是開放的，強盜可以拿錢。,"Сейф открыт, грабитель может забрать деньги.","Trezor je otevřený, lupič si může vzít peníze.","Sejf jest otwarty, złodziej może zabrać pieniądze.","A széf nyitva van, a rabló elviheti a pénzt.","La cassaforte è aperta, il ladro può prendere i soldi.","Le coffre-fort est ouvert, le voleur peut prendre l'argent.","Le coffre-fort est ouvert, le voleur peut prendre l'argent.","O cofre está aberto, o ladrão pode levar o dinheiro.",安全は開いています、強盗はお金を取ることができます。,
dzl_safe_is_closed,Safe is closed,Safe is closed,Tresor ist geschlossen.,保险箱已关闭,保險箱已關閉,Сейф закрыт,Trezor je zavřený,Sejf jest zamknięty,A széf zárva van,La cassaforte è chiusa,Le coffre-fort est fermé,Le coffre-fort est fermé,O cofre está fechado,安全は閉鎖されています,
bank_can_not_be_used_in_moment,Bank cannot be used at the moment. Is there a robbery in progress or has a robbery just taken place?,Bank cannot be used at the moment. Is there a robbery in progress or has a robbery just taken place?,Bank kann im Moment nicht benutzt werden. Es läuft oder lief gerade ein Überfall?,目前无法使用银行。正在进行抢劫，还是刚发生抢劫？,目前無法使用銀行。正在進行搶劫嗎？還是剛發生搶劫？,Банком в настоящий момент пользоваться нельзя. Идет ограбление или только что произошло ограбление?,Banku nelze v tuto chvíli použít. Probíhá loupež nebo k loupeži právě došlo?,W tej chwili nie można użyć banku. Czy trwa napad lub napad właśnie się odbył?,"Bank jelenleg nem használható. Rablás van folyamatban, vagy éppen rablás történt?",La banca non può essere utilizzata al momento. È in corso una rapina o è appena avvenuta una rapina?,La banque ne peut pas être utilisée pour le moment. Y a-t-il un vol en cours ou un vol vient-il d'avoir lieu?,La banque ne peut pas être utilisée pour le moment. Y a-t-il un vol en cours ou un vol vient-il d'avoir lieu?,O banco não pode ser usado no momento. Há um assalto em andamento ou acaba de ocorrer um assalto?,現在、銀行はご利用いただけません。強盗が進行中ですか、それとも強盗が起こったばかりですか？,
bank_rob_was_successful,Bank robbery was successful. Loot:,Bank robbery was successful. Loot:,Bankraub war erfolgreich. Beute:,抢劫银行成功。抢劫：,銀行搶劫成功。搶劫：,Ограбление банка прошло успешно. Добыча:,Bankovní loupež byla úspěšná. Kořist:,Napad na bank zakończył się sukcesem. Łup:,A bankrablás sikeres volt. Zsákmány:,La rapina in banca ha avuto successo. Bottino:,Le vol de banque a réussi. Butin:,Le vol de banque a réussi. Butin:,O assalto a banco foi bem sucedido. Saque:,銀行強盗は成功しました。戦利品：,
bank_rob_was_started,Bank robbery was started,Bank robbery was started,Bankraub wurde gestartet.,开始抢劫银行,搶劫銀行開始了,Начато ограбление банка,Byla zahájena bankovní loupež,Rozpoczęto napad na bank,Bankrablást indítottak,È iniziata la rapina in banca,Le vol de banque a commencé,Le vol de banque a commencé,Assalto a banco foi iniciado,銀行強盗が始まった,
bank_rob_was_canceled,Bank robbery was cancelled.,Bank robbery was cancelled.,Bankraub wurde abgebrochen.,银行抢劫被取消。,銀行搶劫被取消。,Ограбление банка отменено.,Bankovní loupež byla zrušena.,Napad na bank został odwołany.,A bankrablást törölték.,La rapina in banca è stata annullata.,Le vol de banque a été annulé.,Le vol de banque a été annulé.,O assalto a banco foi cancelado.,銀行強盗は取り消されました。,
error_deposit_must_be_positiv,Transfer must be positive.,Transfer must be positive.,Überweisung muss positiv sein.,转移必须是积极的。,轉移必須是積極的。,Перевод должен быть положительным.,Převod musí být kladný.,Transfer musi być pozytywny.,Az átadásnak pozitívnak kell lennie.,Il trasferimento deve essere positivo.,Le transfert doit être positif.,Le transfert doit être positif.,A transferência deve ser positiva.,転送は正でなければなりません。,
error_no_player_was_selected,A player must be selected.,A player must be selected.,Es muss ein Spieler ausgewählt sein.,必须选择一个玩家。,必須選擇一個玩家。,Необходимо выбрать игрока.,Musí být vybrán hráč.,Gracz musi być wybrany.,Egy játékost kell kiválasztani.,Deve essere selezionato un giocatore.,Un joueur doit être sélectionné.,Un joueur doit être sélectionné.,Um jogador deve ser selecionado.,プレイヤーを選択する必要があります。,
error_you_cant_send_money_to_yourself,You cannot transfer money to yourself.,You cannot transfer money to yourself.,Du kannst dir selber kein Geld überweisen.,您不能向自己转账。,您不能向自己轉賬。,Вы не можете перевести деньги себе.,Peníze nemůžete převést na sebe.,Nie możesz przelać pieniędzy na siebie.,Nem utalhat pénzt magának.,Non puoi trasferire denaro a te stesso.,Vous ne pouvez pas vous transférer d'argent.,Vous ne pouvez pas vous transférer d'argent.,Você não pode transferir dinheiro para si mesmo.,自分に送金することはできません。,
Cash_Transfer,Cash transfer,Cash transfer,Überweisen.,现金转移,現金轉移,Денежный перевод,Hotovostní převod,Przelew pieniężny,Készpénz átutalás,Trasferimento in contanti,Transfert d'argent,Transfert d'argent,Transferência de dinheiro,現金送金,
start_work,Start working,Start working,Arbeit starten.,开工,開工,Начинай работать,Začít pracovat,Rozpocząć pracę,Kezdj dolgozni,Iniziare a lavorare,Commencer à travailler,Commencer à travailler,Comece a trabalhar,働き始める,
no_space_left_in_inventory,No space left.,No space left.,Kein Platz mehr.,没有剩余空间。,沒有剩餘空間。,Нет места.,Nezbývá místo.,Brak miejsca.,Nincs hely.,Nessuno spazio rimasto.,Il n'y a plus d'espace.,Il n'y a plus d'espace.,Sem espaço sobrando.,スペースが残っていません。,
you_got,You got,You got,Du bekommst,你得到了,你得到了,Ты получил,Máš,Masz,Neked van,Tu hai,Vous avez,Vous avez,Você tem,あなたが得た,
not_enough_money,You do not have enough money with you.,You do not have enough money with you.,Du hast nicht genug Geld dabei.,您没有足够的钱。,您沒有足夠的錢。,У тебя с собой не хватает денег.,Nemáte s sebou dost peněz.,Nie masz przy sobie wystarczająco dużo pieniędzy.,Nincs elég pénzed magaddal.,Non hai abbastanza soldi con te.,Vous n'avez pas assez d'argent avec vous.,Vous n'avez pas assez d'argent avec vous.,Você não tem dinheiro suficiente com você.,あなたはあなたと十分なお金を持っていません。,
your_already_have_the_licence,You already have the license.,You already have the license.,Du hast die Lizenz bereits,您已经有许可证。,您已經有許可證。,У вас уже есть лицензия.,Licenci již máte.,Masz już licencję.,Már megvan az engedély.,Hai già la licenza.,Vous avez déjà la licence.,Vous avez déjà la licence.,Você já tem a licença.,あなたはすでにライセンスを持っています。,
you_have_not_the_dependency_licence,You have not purchased the required license.,You have not purchased the required license.,Du hast nicht die abhängige Lizenz erworben.,您尚未购买所需的许可证。,您尚未購買所需的許可證。,Вы не приобрели необходимую лицензию.,Nezakoupili jste požadovanou licenci.,Nie zakupiłeś wymaganej licencji.,Nem vásárolta meg a szükséges licencet.,Non hai acquistato la licenza richiesta.,Vous n'avez pas acheté la licence requise.,Vous n'avez pas acheté la licence requise.,Você não adquiriu a licença necessária.,必要なライセンスを購入していません。,
open_licence_menu,Open license office,Open license office,Öffne Lizenbüro,营业执照营业所,營業執照營業所,Офис с открытой лицензией,Otevřená licenční kancelář,Otwarte biuro licencji,Nyílt licenciroda,Apri ufficio licenze,Bureau des licences ouvert,Bureau des licences ouvert,Escritório de licença aberta,オープンライセンスオフィス,
depend_on,Depending on,Depending on,Abhängig von,根据,根據,В зависимости от,Záleží na,Zależy od,Attól függ,A seconda di,Selon,Selon,Dependendo,応じて,
Purchased,in possession,in possession,in Besitz,拥有,擁有,Во владении,v držení,w posiadaniu,birtokában,in possesso,en possession,en possession,em posse,所持,
start_crafting,Start crafting.,Start crafting.,Herstellung starten,开始制作。,開始製作。,Начни создавать.,Začněte s tvorbou.,Zacznij tworzyć.,Kezdje el a kézműveskedést.,Inizia a creare.,Commencez à fabriquer.,Commencez à fabriquer.,Comece a criar.,クラフトを開始します。,
item_crafted,Item crafted,Item crafted,Herstellung erfolgreich,精制物品,精製物品,Предмет создан,Zboží vytvořeno,Przedmiot stworzony,Készített cikk,Articolo realizzato,Objet fabriqué,Objet fabriqué,Item fabricado,細工されたアイテム,
not_enough_items_to_craft,Not all resources found.,Not all resources found.,Nicht alle Resourcen gefunden.,找不到所有资源。,找不到所有資源。,Не все ресурсы найдены.,Nebyly nalezeny všechny zdroje.,Nie znaleziono wszystkich zasobów.,Nem található meg minden erőforrás.,Non tutte le risorse trovate.,Toutes les ressources n'ont pas été trouvées.,Toutes les ressources n'ont pas été trouvées.,Nem todos os recursos encontrados.,すべてのリソースが見つかりません。,
missing_craft_item,Not all resources found.,Not all resources found.,Nicht alle Resourcen gefunden.,找不到所有资源。,找不到所有資源。,Не все ресурсы найдены.,Nebyly nalezeny všechny zdroje.,Nie znaleziono wszystkich zasobów.,Nem található meg minden erőforrás.,Non tutte le risorse trovate.,Toutes les ressources n'ont pas été trouvées.,Toutes les ressources n'ont pas été trouvées.,Nem todos os recursos encontrados.,すべてのリソースが見つかりません。,
not_enough_tools_to_craft,Not all tools found,Not all tools found,Nicht alle Werkzeuge gefunden.,并非找到所有工具,並非找到所有工具,Не все инструменты найдены,Nebyly nalezeny všechny nástroje,Nie znaleziono wszystkich narzędzi,Nem található minden eszköz,Non tutti gli strumenti trovati,Tous les outils n'ont pas été trouvés,Tous les outils n'ont pas été trouvés,Nem todas as ferramentas encontradas,すべてのツールが見つからない,
has_not_found_all_items_that_is_needed_to_craft,Not all resources found,Not all resources found,Nicht alle Resourcen gefunden.,找不到所有资源,找不到所有資源,Не все ресурсы найдены,Nebyly nalezeny všechny zdroje,Nie znaleziono wszystkich zasobów,Nem található meg minden erőforrás,Non tutte le risorse trovate,Toutes les ressources n'ont pas été trouvées,Toutes les ressources n'ont pas été trouvées,Nem todos os recursos encontrados,すべてのリソースが見つかりません,
break_door,Not all tools found.,Not all tools found.,Tür aufbrechen.,并非找到所有工具。,並非找到所有工具。,Не все инструменты найдены.,Nebyly nalezeny všechny nástroje.,Nie znaleziono wszystkich narzędzi.,Nem található minden eszköz.,Non tutti gli strumenti trovati.,Tous les outils n'ont pas été trouvés.,Tous les outils n'ont pas été trouvés.,Nem todas as ferramentas foram encontradas.,すべてのツールが見つかったわけではありません。,
raid_item_has_not_enough_helth,Burglary tool looks damaged. Get a new one.,Burglary tool looks damaged. Get a new one.,Einbruchswerkzeug schaut beschädigt aus. Besorge dir ein neues.,盗窃工具看起来已损坏。换一个新的。,盜竊工具看起來已損壞。換一個新的。,Инструмент для взлома выглядит поврежденным. Получите новый.,Nástroj vloupání vypadá poškozený. Získejte nový.,Narzędzie antywłamaniowe wygląda na uszkodzone. Kup nowy.,A betöréses eszköz sérültnek tűnik. Szerezz be újat.,Lo strumento antifurto sembra danneggiato. Acquistane uno nuovo.,L'outil de cambriolage semble endommagé. Obtenez-en un nouveau.,L'outil de cambriolage semble endommagé. Obtenez-en un nouveau.,A ferramenta de roubo parece danificada. Obtenha um novo.,盗難ツールが破損しているように見えます。新しいものを入手してください。,
